127.0.0.1 - - [10/Jun/2022:09:21:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:21:51 +0900] "GET /board_ex09/ HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:21:51 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:21:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:19 +0900] "GET /board_ex09/board/list HTTP/1.1" 200 7452
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:19 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:22 +0900] "GET /board_ex09/board/list?type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 7628
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:22 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:23 +0900] "GET /board_ex09/board/get?bno=824&page=1&type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:23 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:24 +0900] "GET /board_ex09/board/list?page=1&type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 7628
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:24 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:26 +0900] "GET /board_ex09/board/list?page=8&type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 7628
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:26 +0900] "GET /board_ex09/resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Jun/2022:09:22:27 +0900] "GET /board_ex09/board/get?bno=748&page=8&type=T&keyword=%EC%8A%A4%ED%94%84%EB%A7%81 HTTP/1.1" 200 3440
